Kaj je taktilna zaznava?|
Kakšna je razlika v dojemanju dotika in pritiska?|<ul class="bulleted-list" id="6d9e9520-ddb3-43ec-a213-007d36f7d094"><li>Pritisk - receptorji so globlje.</li></ul>
Kako se zaznavajo vibracije?|
Kje se nahajajo?|<ul class="bulleted-list" id="0da03414-16d6-43c1-8000-16a7ed734e95"><li>Pa tudi na poraščenih delih kože</li></ul>
Zakaj imajo le delno adaptacijo?|
Kaj zaznavajo?|
Kako so inervirani?|
Kakšna je njihova sposobnost adaptacije?|
Kaj zaznavajo?|
Kje v koži se nahaja?|
Kakšno vloga ima pri sklepih?|
Kakšna je njihova sposobnost adaptacije?|
Kaj zaznavajo?|
Kako je inervirano?|
Kako je inerviran?|
Kakšna je njihova sposobnost adaptacije?|
Kaj zaznavajo?|<ul class="bulleted-list" id="dc9e2105-1329-417a-89af-9a0de00b4bed"><li>Vibracije</li></ul>
V katerih slojih kože se nahajajo?|<ul class="bulleted-list" id="d38e8d5e-44f2-4a2d-b9f7-c9dd7e629ac7"><li>Fascije</li></ul>
Kateri izmed receptorjev zaznavajo premik predmetov po koži?|<ul class="bulleted-list" id="c8178fb8-6bca-4665-8371-eb365e1da4a7"><li>Receptor lasnih mešičkov</li></ul>
Kateri izmed receptorjev zaznavajo vibracije?|<ul class="bulleted-list" id="5eccc771-46a6-4173-98cf-96f1791b2684"><li>Meissnerjevo telesce (nižje frekvence - 2 - 80 Hz)</li></ul>
Kateri izmed receptorjev zaznavajo stalen dotik?|<ul class="bulleted-list" id="154406bf-29d5-43ab-bd0b-089078291e53"><li>Ruffinijevo telesce (stalen močan dotik)</li></ul>
Kateri izmed zgoraj navedenih receptorjev ne prevaja informacij po Abeta živčnih vlaknih?|
Kaj je lastnost prevajanja informacij po Adelta živčnih vlaknih?|
Katero informacijo prevajajo vlakna C iz prostih živčnih končičev?|
Kako se prenaša žgečkanje in srbenje?|<ul class="toggle" id="da2d8b92-96ff-4e7f-95ce-6909564e354d"><li><details open=""><summary>Kaj povzroči refleks praskanja?</summary><ul class="bulleted-list" id="1933ddd1-3360-4b81-8f15-6806ca3a9410"><li>Odstranitev draženja ali</li></ul><ul class="bulleted-list" id="6157d378-f9ed-43f0-b91a-9de85c886eb0"><li>Povzročitev bolečine → zaznava bolečine inhibira zaznavo srbenja (=lateralna inhibicija)</li></ul></details></li></ul>
Kaj povzroči refleks praskanja?|<ul class="bulleted-list" id="6157d378-f9ed-43f0-b91a-9de85c886eb0"><li>Povzročitev bolečine → zaznava bolečine inhibira zaznavo srbenja (=lateralna inhibicija)</li></ul>
Kateri izmed receptorjev zaznava položaj sklepov?|
Po katerih delih beline v hrbtenjači se posreduje informacija?|
Kaj se zgodi, ko aferentni živec vstopi v dorzalni rog hrbtenjače?|
Kaj sestavlja ventrobazalni kompleks talamusa?|<ul class="bulleted-list" id="53b4d5ac-8e75-4f76-a9f5-cfb9f76f4ced"><li>Nucleus ventralis posteromedialis</li></ul>
Katere informacije se posredujejo po tej poti?|<ul class="bulleted-list" id="daf3f8cc-0ea7-43d8-be4c-2ca0fd3410d6"><li>Vibracije</li></ul><ul class="bulleted-list" id="d62ea280-7c39-4cdc-9115-ee531076e119"><li>Premiki predmetov po koži</li></ul><ul class="bulleted-list" id="266b518d-baf1-4591-aa0e-c0d55ee39dfa"><li>Položaj sklepov</li></ul><ul class="bulleted-list" id="5476b5dd-9d34-429d-a025-5de68632303a"><li>Razločevanje intenzitete pritiska</li></ul>
Kje segajo nevroni 1., 2. in 3. reda?|<ul class="bulleted-list" id="a0564990-13d2-4196-8e27-0b0cbed58862"><li>Nevron 2. reda (→ talamus)</li></ul><ul class="bulleted-list" id="d46b7c35-25be-46c3-b79d-2a7bf2d01c9e"><li>Nevron 3. reda (→ somatosenzorične skorje)</li></ul>
